timestamp,language/m-small,language/m-mid,language/m-large,multimodal/mm-image,reason/deepseek-r1
0,485857.00000000006,591939.0000000001,127668.00000000001,3334.9999999999995,8917.999999999998
600,473920.0,626451.9999999998,107819.0,2966.9999999999995,11041.999999999995
1200,473054.0,664595.0,112632.99999999999,3297.9999999999995,12031.999999999998
1800,472747.0,807449.0000000003,138856.0,3317.9999999999995,12387.000000000002
2400,473858.00000000006,807664.9999999999,116323.00000000003,4058.000000000001,12334.000000000002
3000,470969.0000000001,729326.0,135976.0,3193.0,12797.999999999998
3600,368730.00000000006,783654.0000000001,130344.99999999999,2917.0,12898.000000000002
4200,360808.0,764842.9999999999,135020.0,4060.0000000000005,13123.999999999998
4800,372436.0,794435.0000000001,141068.0,5562.0,13078.0
5400,386925.0,710296.0,152234.99999999997,6175.000000000001,13162.0
6000,382591.0,694732.9999999999,142758.00000000003,5947.0,13211.0
6600,373584.00000000006,730725.9999999998,127317.0,5647.000000000001,14625.999999999996
7200,291473.99999999994,768630.9999999999,131595.00000000006,7325.999999999999,19235.999999999996
7800,297674.0,730681.0000000003,129881.00000000001,7897.000000000001,19952.0
8400,312856.00000000006,743641.9999999999,131330.0,5758.000000000001,19832.0
9000,372526.0,785850.0000000001,140313.0,5687.0,19395.999999999996
9600,394321.0,835808.9999999999,141717.99999999997,5857.0,19596.000000000004
10200,406300.0,717014.9999999999,125408.99999999997,5625.0,19282.000000000004
10800,420360.99999999994,695867.9999999999,131151.0,4937.0,18972.0
11400,312346.0,737061.9999999998,126397.00000000003,4799.0,17758.0
12000,335755.0,727532.0,123059.0,4910.0,17162.0
12600,342356.99999999994,769679.0,118664.99999999999,4942.000000000001,17656.0
13200,355578.00000000006,790785.0000000001,117024.00000000003,4934.000000000001,17824.999999999996
13800,367761.99999999994,857303.9999999998,114045.00000000003,5020.0,13737.999999999998
14400,370841.99999999994,1019036.0,115053.0,5434.0,10043.0
15000,285468.0,865529.0,120588.0,5186.000000000001,10273.0
15600,307881.0,817030.0000000002,116647.0,6367.000000000001,10140.999999999998
16200,329324.0,922417.9999999999,117534.99999999999,5589.000000000001,10069.0
16800,357220.0,882689.0000000001,122579.00000000001,5093.000000000001,10275.0
17400,377059.99999999994,1076815.0,120492.00000000001,5247.000000000001,10547.999999999998
18000,373804.99999999994,575254.9999999999,106245.00000000001,5329.0,10371.0
18600,309861.99999999994,454355.0,113194.0,5487.000000000001,10121.0
19200,363125.0,467996.00000000006,121321.00000000001,5627.0,7084.000000000001
19800,384278.0,640124.9999999999,122987.99999999997,5289.0,8652.0
20400,404764.0,728247.9999999999,122878.99999999997,5367.0,7827.999999999998
21000,430434.0,858142.0000000001,135066.00000000003,4941.0,8299.000000000002
21600,441008.00000000006,775274.9999999999,139056.0,4685.0,8308.0
22200,360451.0,552550.0,134626.99999999997,5849.000000000001,8630.0
22800,392200.00000000006,423874.0,134322.00000000003,4663.0,5699.000000000001
23400,426242.0,565659.0000000001,134564.0,4993.0,6806.000000000001
24000,450802.0,894231.0000000001,134602.0,4691.0,7114.000000000002
24600,467143.99999999994,669181.0,134570.99999999997,4713.0,6646.000000000001
25200,493356.0,485095.9999999999,136091.0,5121.0,5442.999999999999
25800,417975.0,541783.0,135303.0,5145.0,6307.999999999998
26400,438006.99999999994,775637.0000000001,134502.00000000006,5100.999999999999,5532.0
27000,450229.99999999994,692240.0000000001,136296.0,5130.999999999999,5754.0
27600,475130.00000000006,717589.9999999998,134960.99999999997,5249.0,5079.0
28200,495280.0,530276.0,136979.0,5510.999999999999,5143.999999999999
28800,529228.9999999999,613691.9999999999,143729.0,4740.0,6042.999999999999
29400,481373.00000000006,751858.9999999999,154427.0,4870.0,6099.000000000001
30000,474436.0,596075.0,151824.0,4658.999999999999,4657.0
30600,502779.99999999994,548327.0,159732.00000000003,5006.999999999999,6547.000000000001
31200,522319.0,569040.0,160035.99999999997,5231.000000000001,5004.0
31800,551424.0,851251.9999999999,170465.99999999997,5033.999999999999,5984.999999999999
32400,584722.0,854339.9999999995,176061.99999999997,5905.0,3084.0
33000,662020.0000000001,749244.0,190503.0,5984.0,6933.0
33600,579602.0000000001,875457.0000000002,198576.9999999999,6170.999999999999,7619.000000000001
34200,725647.0,1018564.9999999999,189673.00000000006,6586.0,6475.000000000002
34800,681599.0000000001,1019497.0000000001,191040.0,6257.0,7888.0
35400,598981.9999999999,945426.0000000001,195762.99999999994,7053.999999999998,6284.0
36000,623133.0,1092045.0,190768.9999999999,7972.0,8299.0
36600,630243.0,1064080.0000000002,194336.9999999999,6862.0,6610.000000000001
37200,576523.0,968116.0000000001,192688.9999999999,7653.000000000001,7567.000000000001
37800,605599.0,1019373.9999999999,199440.9999999999,7762.0,9039.0
38400,572109.0000000001,986448.0000000003,207274.00000000006,7862.0,6326.000000000001
39000,555131.0,882561.0000000001,210790.00000000006,7396.000000000001,8868.999999999998
39600,552723.0000000001,1100715.0000000005,214127.99999999997,6982.0,9797.000000000002
40200,563515.0,1070753.0,211923.00000000006,7260.0,6194.000000000001
40800,549828.0,1023447.0000000001,195611.0,7010.999999999999,8917.999999999998
41400,512609.00000000006,1045542.9999999998,183561.0,7548.999999999999,6661.999999999999
42000,526239.0,1004111.0,171592.0,7389.0,8047.000000000001
42600,437188.0,708762.9999999997,159160.0,6433.000000000002,8231.0
43200,473738.0000000001,577769.9999999998,128369.00000000004,5616.999999999999,6216.000000000001
43800,444449.0,711291.9999999999,120610.00000000006,5471.0,7029.999999999999
44400,489667.00000000006,770430.0,114386.99999999996,5746.999999999999,3565.0000000000005
45000,496773.99999999994,874556.0,118921.00000000001,6236.0,3521.0000000000005
45600,501941.00000000006,816676.0000000001,113376.0,6918.999999999999,2587.0000000000005
46200,516790.00000000006,884310.9999999998,118153.00000000004,6848.0,2856.0
46800,501634.00000000006,1003288.0000000003,136536.00000000003,7097.999999999999,2837.0
47400,476339.00000000006,1067295.0000000002,139634.00000000003,6505.0,3063.0000000000014
48000,422221.99999999994,1027038.0,143001.00000000006,6048.000000000001,5618.0
48600,443370.0,1065715.0,164778.99999999997,6228.000000000001,6144.000000000001
49200,472445.0,1055264.0000000005,177080.99999999997,5589.0,6428.0
49800,547546.0000000001,1063527.9999999998,201674.99999999988,6176.0,7304.0
50400,566683.0,1051659.0,215451.0,7063.999999999999,6906.999999999998
51000,574909.0,1080092.0,218407.0,7430.000000000001,6505.000000000001
51600,584964.0,1210390.0,214910.00000000003,6980.000000000001,6930.999999999999
52200,594011.9999999999,1138369.0,225984.99999999997,7438.999999999999,6527.999999999999
52800,625706.0,952217.0000000006,214448.99999999997,7276.0,6382.000000000001
53400,615029.0,736388.0,223449.99999999994,6852.0,6201.000000000001
54000,628851.0,784636.0,200683.00000000006,7730.999999999999,5697.000000000001
54600,630417.9999999999,662379.0000000001,200297.00000000006,7007.0,5434.000000000001
55200,654562.0,695694.0000000001,194138.00000000006,6885.0,5277.999999999999
55800,641377.0,773259.0000000001,204661.99999999997,7435.000000000001,6934.000000000001
56400,628125.0,760443.9999999999,209611.9999999999,7826.999999999999,7420.999999999998
57000,616550.0,790175.0,208081.0000000001,7501.0,9818.0
57600,620850.9999999999,739859.9999999998,206869.9999999999,7600.0,9484.000000000002
58200,631944.0,735000.9999999998,205939.99999999997,7798.999999999999,9997.999999999998
58800,657506.9999999999,768550.9999999995,208005.99999999988,7452.0,11118.0
59400,658520.0,763132.9999999998,210099.99999999997,7858.000000000001,9576.0
60000,678782.0,805504.9999999999,215968.9999999999,7753.999999999999,5522.999999999999
60600,668973.0,663861.0,210082.0000000001,7489.0,4907.0
61200,683001.0,718372.0000000003,210375.0,6854.000000000001,5422.999999999999
61800,732123.0,874798.9999999999,213047.00000000003,6848.999999999999,4828.0
62400,679178.9999999998,934406.9999999997,211851.0,6520.999999999998,5954.999999999999
63000,649822.9999999999,902189.0000000002,215813.99999999985,6290.000000000001,5340.999999999999
63600,627867.9999999999,829603.0000000002,244099.0,4788.0,4580.000000000001
64200,718687.0,680998.0,183580.99999999997,4853.000000000001,5782.0
64800,643206.9999999999,554726.9999999999,149405.0,4936.999999999999,6426.000000000001
65400,672101.0000000001,551896.9999999999,141789.00000000006,5047.0,8362.0
66000,701171.9999999999,564724.0,191232.0000000001,4625.000000000001,7112.0
66600,718390.9999999999,575344.0,186854.99999999994,4371.000000000001,6850.000000000001
67200,719902.0,618598.9999999999,212120.99999999997,6103.0,6991.000000000002
67800,749078.0000000001,770739.0,188298.99999999994,5154.999999999999,7448.999999999998
68400,764118.0000000001,795666.0000000002,185626.99999999988,5620.999999999999,6189.000000000001
69000,797598.0,651687.0000000001,205391.0,5662.0,5499.000000000002
69600,866159.9999999998,688676.0000000001,207421.00000000003,5500.000000000002,5042.999999999998
70200,885486.0000000001,680137.0,226846.99999999988,5428.999999999999,5944.0
70800,900215.0000000001,860821.0000000001,183879.0000000001,4563.0,5343.999999999999
71400,908023.9999999999,820952.9999999999,205474.00000000003,4506.0,5839.0
72000,929015.0000000001,828087.0000000001,268595.9999999999,5187.0,10326.999999999998
